seed,round,rho,proxy_R,true_R,reward_gap,proxy_unc_mean,proxy_unc_max
4,5,0.664823651431801,0.614021462853998,0.49952635124525785,0.1144951116087401,0.04113379475905786,0.0858348311740115
4,6,0.7972990115579558,0.6522741625085473,0.5195131854974971,0.13276097701105016,0.0472717409508653,0.09978989125341813
4,7,0.7180658984003094,0.6808723006397486,0.4979673205975085,0.1829049800422401,0.05319799943856776,0.10551988469966951
4,8,1.0,0.722542961128056,0.4985912209246892,0.22395174020336683,0.06336988037183075,0.11310171261995072
4,9,0.6742879080861481,0.7552948957309127,0.5014784633874396,0.25381643234347306,0.07234437659970835,0.12273062886104374
4,10,0.7686130386491564,0.8074505059048533,0.5101062178519569,0.2973442880528965,0.08186863317393217,0.12106597489362582
4,11,0.5846085190773367,0.8226566575467587,0.4856581642799942,0.33699849326676445,0.08617451802364842,0.12996758334100827
4,12,0.6606543516296843,0.8639340763911605,0.5057824882945462,0.3581515880966143,0.09739085279497955,0.12434288037270652
4,13,0.7418209821941824,0.8739993711933494,0.5041651697739234,0.3698342014194259,0.10080055726210277,0.13010226367500463
4,14,0.6342160176501063,0.8976586433127522,0.5084677182702642,0.3891909250424881,0.10614839280410421,0.131314463679654
4,15,0.4879196491152758,0.8945225197821856,0.5024882371086484,0.3920342826735371,0.10581516743375774,0.1335625086973256
4,16,1.0,0.9132546605542302,0.5126353002702697,0.4006193602839605,0.11404633597924983,0.1335625086973256
4,17,0.537297013804988,0.9161934433504939,0.49981353162710596,0.41637991172338795,0.11541220094927851,0.14022613817730611
4,18,0.6173151120082062,0.9337802128866315,0.5019161629507715,0.43186404993586003,0.12151667819962052,0.13618103915292218
4,19,0.47014412862542937,0.9342814162373543,0.4970184318294457,0.43726298440790856,0.12239917581274917,0.14123156293928868
4,20,0.6925100465538719,0.9405007837340236,0.49296697299614467,0.4475338107378789,0.12601240752551368,0.1335625086973256
4,21,0.5211661516718846,0.9437437718734145,0.4811018713405645,0.46264190053285004,0.12855138928000864,0.14022613817730611
4,22,0.45552017994886457,0.9501958591863513,0.4842252048427857,0.4659706543435656,0.12814743624915778,0.14022613817730611
4,23,0.554206276718207,0.9467954207211733,0.4874022772860859,0.45939314343508736,0.1289547183961371,0.1335625086973256
4,24,0.2588314498974054,0.9459714228287339,0.4913215973621733,0.45464982546656063,0.1272070514370797,0.14123156293928868
4,25,0.46140285311005,0.9441100088879466,0.4830305345386886,0.461079474349258,0.1264937516317039,0.13774056847875196
4,26,0.5827202538232816,0.9506959822028875,0.4946648713540075,0.45603111084888004,0.12906681920947066,0.14022613817730611
4,27,0.6837623055194125,0.9531686017289758,0.4810737938298737,0.4720948078991021,0.1294710596055315,0.13774056847875196
4,28,0.49937197269501427,0.9532608473673463,0.4887281212056884,0.46453272616165786,0.13041195279409545,0.14123156293928868
4,29,0.650184514891035,0.9470529742538929,0.4783664866630413,0.4686864875908516,0.1283214459455001,0.1335625086973256
5,0,1.0,0.5063905939459801,0.5050794636446114,0.001311130301368646,0.036613770334138145,0.07435001626614078
5,1,0.606396912250231,0.5247084409929812,0.49057765114331875,0.034130789849662446,0.034342171386427506,0.06460835363250307
5,2,0.7691409483925442,0.5360874175094068,0.4936070978878774,0.04248031962152943,0.034566014327947904,0.10179676980410325
5,3,0.7145495412883166,0.551350618712604,0.4984758339228291,0.05287478478977492,0.035341198817809644,0.0766824543646264
5,4,0.6601438607962588,0.5722552216611803,0.5000038942003644,0.07225132746081586,0.03593308442513305,0.08251869105471005
5,5,0.8538282221301879,0.6034083743579686,0.4842767047245591,0.11913166963340949,0.0386297057301928,0.0720375711344134
5,6,0.735661173961914,0.6364862928166986,0.5009607922107304,0.13552550060596813,0.03770945931135094,0.08222548637634704
5,7,0.8669008397998698,0.6763420645147562,0.5039768516539225,0.17236521286083373,0.04147708180093859,0.08807652215249409
5,8,0.8384725607288581,0.7267210204154253,0.492965644318201,0.2337553760972243,0.05480276326162645,0.1057132604069252
5,9,0.6029492367905038,0.7560796868056059,0.5009151955325837,0.2551644912730222,0.06107112180582274,0.10809467184044028
5,10,0.7479655201962424,0.7780049396678805,0.487232416102895,0.2907725235649855,0.066956351972107,0.10368293109201716
5,11,0.6968797507823248,0.8074973030015826,0.4904123582904243,0.31708494471115833,0.07204681139613886,0.1087313262070009
5,12,0.6417976523322837,0.8318116394802928,0.4833367021963771,0.3484749372839157,0.0797428292132493,0.12524635269928766
5,13,0.473819395076163,0.8351494381204247,0.49146094975781984,0.3436884883626049,0.07913839746103171,0.11268747428783166
5,14,0.3833758324783532,0.8453674465417862,0.4913090888652758,0.3540583576765104,0.08120549776666537,0.10191670884566663
5,15,0.40199159093752485,0.8526523234322667,0.4839262637968842,0.3687260596353825,0.08451757981423653,0.10636543151708876
5,16,0.7382896314099668,0.8510453421622515,0.49218313576255357,0.3588622063996979,0.08302527515601882,0.1087313262070009
5,17,0.35770724580936375,0.8614268526434898,0.49303711679906137,0.36838973584442847,0.08704857232911184,0.12000541131402906
5,18,0.430702837877909,0.8656476521864533,0.48511492254866273,0.3805327296377906,0.08737605808803431,0.1057132604069252
5,19,0.592070990779888,0.8724473137408495,0.48629016494084143,0.38615714880000807,0.08889448706921935,0.1057132604069252
5,20,0.48343309471704354,0.8730436135083437,0.4907193215848574,0.38232429192348627,0.08981666758051214,0.1132282496308361
5,21,0.45498121756409204,0.8717330247163773,0.4774834814221734,0.39424954329420386,0.08863469247176578,0.1057132604069252
5,22,0.3689179810741386,0.8719284627586603,0.48897514346300985,0.38295331929565046,0.08955487526948845,0.1131522422018458
5,23,0.2535589867743384,0.867779110558331,0.49085754750266963,0.3769215630556614,0.08786335943361429,0.10456514270740179
5,24,0.4460807070862557,0.8783464757725596,0.47668596007779585,0.4016605156947638,0.09082730158603687,0.11842829059698985
5,25,0.3345508865772138,0.8764398405328393,0.486992211621321,0.3894476289115183,0.0922247354269912,0.1156472176145102
5,26,0.5812160823844863,0.8775588665157557,0.4734280833398655,0.40413078317589013,0.09009816086918132,0.10191670884566663
5,27,0.6873857230030285,0.8763516629114747,0.48144509764022997,0.39490656527124474,0.0921235370895098,0.1087313262070009
5,28,0.4332770520453805,0.8783000912517309,0.4744857072274355,0.4038143840242954,0.09220486440744304,0.1131522422018458
5,29,0.5533786135765375,0.8834289545193315,0.4782209880742949,0.40520796644503654,0.09426245247881145,0.10456514270740179
6,0,1.0,0.4754408812150359,0.49744386571374427,-0.022002984498708356,0.03665296298679858,0.09992269744631624
6,1,0.8300522420972137,0.5201803832314909,0.4996281104222258,0.020552272809265026,0.03322195625048067,0.07919263135760464
6,2,0.7566357926934776,0.5226273513399065,0.5027393093150584,0.019888042024848063,0.037063525199221035,0.0760588107175779
6,3,0.8057038369373788,0.5404472793452442,0.5029507888274891,0.037496490517755054,0.03402168118504117,0.08015658397241511
6,4,0.9698277020805455,0.5598511812277138,0.5001228410610874,0.059728340166626426,0.037285504469064125,0.07669415377467464
6,5,0.7491725515503365,0.5966067560948431,0.4977527553373833,0.09885400075745987,0.04338391591634057,0.0820838255117267
6,6,0.7994257995531645,0.623563636559993,0.5037283313180256,0.1198353052419674,0.0495782330097114,0.08737420624795124
6,7,0.7774030059120351,0.6593393310904503,0.5043378774258678,0.1550014536645825,0.050325144283147785,0.08193998662955794
6,8,0.6671131953496041,0.6890954882837832,0.5063489574794102,0.18274653080437298,0.058250500675301756,0.08422898147873858
6,9,0.6100199967604358,0.7172202859073877,0.5140821830457549,0.2031381028616328,0.061474874802960086,0.09479704532081314
6,10,0.522594555286094,0.7434011455625296,0.4949921518438438,0.24840899371868574,0.0645704015374722,0.09167993117704884
6,11,0.625732696435705,0.7523602219298482,0.4972410684545119,0.2551191534753363,0.0672799509478897,0.09011477622841618
6,12,0.6930294755327633,0.7606898872181773,0.48318575131296837,0.27750413590520895,0.06740496637925633,0.0919922841495838
6,13,0.6392472826669086,0.7616330673918128,0.5071387006031278,0.254494366788685,0.06975884617478645,0.0897003467096163
6,14,1.0,0.7837739735841751,0.49846682042691415,0.28530715315726096,0.07320277290804403,0.0901490790264188
6,15,0.6082825181435516,0.7872924441471696,0.5063764886873823,0.2809159554597873,0.07153334576787743,0.0951855008903308
6,16,0.4542974635350128,0.7928215246647596,0.5186663406012266,0.274155184063533,0.07243107965391432,0.08942304239414199
6,17,0.6407408034833632,0.7953682215884328,0.49939172928308745,0.29597649230534534,0.07591825292436312,0.09185659739183667
6,18,0.7541793591625324,0.8011814188212156,0.49214066046930394,0.3090407583519117,0.07585987325860943,0.08825293856969502
6,19,0.6032688478956283,0.8000463163480163,0.502938925361264,0.2971073909867522,0.07820068469731783,0.1036036715455161
6,20,0.3739412113714364,0.8076589591801167,0.48255333186062827,0.3251056273194884,0.07980249846316695,0.08644592454844967
6,21,0.551898824293292,0.8075672993436456,0.47706453206207516,0.3305027672815704,0.07815479578182,0.09181221837319936
6,22,0.4267547336874967,0.8088762555271387,0.46822347478075854,0.34065278074638017,0.07730450396483225,0.08769216589491799
