K,seed,round,best,mean_R,rho,rho_star,L_hat,L_analytic,alpha_S,alpha_T,cos_T1,in_supp_frac
1,4,3,0.7401332216490892,0.6191308995979635,1.0,0.8515636711104088,1.7431031163651625,10.0,3.111691766528788,1.2854743657538272,1.0000001192092896,1.0
1,4,4,0.7401332216490892,0.6409483527242605,0.7364369599353608,0.5175231557047495,9.322806892345255,10.0,3.427418733440616,1.1670590351195862,1.0,0.9375
1,4,5,0.773275187556898,0.6799792800845021,0.686155398435477,0.6639676047845866,5.0609757583645,10.0,2.9704114328895725,1.3466148008018064,0.9999998807907104,0.90625
1,4,6,0.8036709973629573,0.7139220778674921,0.5926814475610807,0.6112431522569716,6.360101480197721,10.0,2.8703271364842076,1.3935693772172255,0.9999998211860657,0.859375
1,4,7,0.8174232094147067,0.7351868176760505,0.9402959935685885,0.819077127170812,2.20886247250142,10.0,3.265801482762328,1.2248141906704817,1.000000238418579,0.984375
3,0,0,0.6025401776761312,0.48451203089002326,1.0,0.7222166163550551,3.8462613204177725,5.0,2.6039809145110797,1.5361095688948379,1.0,1.0
3,0,1,0.6891283144381246,0.4843768787377191,0.9944826042645191,0.7082641140925672,4.119026788208899,5.0,2.7748908773626435,1.4414981261539712,1.0,0.984375
3,0,2,0.6891283144381246,0.49995348854662847,0.7493117105783135,0.7126190544461978,4.032742932717908,5.0,2.318233744373555,1.7254515467683782,1.0,0.96875
3,0,3,0.702434918388321,0.4986565719638856,0.7624812319538438,0.5837562333574158,7.1304380639946165,5.0,2.672661614433824,1.4966354058433091,1.0,0.953125
3,0,4,0.702434918388321,0.519171991948128,0.7013734201632794,0.6194933623765378,6.142222995961406,5.0,2.5264550171205213,1.583246079148056,1.0,0.859375
3,0,5,0.702434918388321,0.5234726022636293,0.6579151434536554,0.6223253671033311,6.068764875431467,5.0,2.457678942790954,1.6275518866014198,1.0000001192092896,0.875
3,0,6,0.7249392240471992,0.539150133994241,0.8675272369658164,0.5475713987474513,8.262458599690595,5.0,3.242948994752369,1.233445239648439,0.9999998807907104,0.953125
3,0,7,0.7249392240471992,0.5531421113176505,0.6128033119405213,0.6641524002173416,5.05678515462345,5.0,2.4296193205663728,1.6463484489691798,1.0000001192092896,0.9375
3,1,0,0.661920645544402,0.48601240233693793,1.0,0.7919322540536466,2.6273427415201422,5.0,2.437106656581,1.6412904987964592,1.0,1.0
3,1,1,0.661920645544402,0.49333745585278477,0.6458196841001363,0.6174917469751096,6.194548427548606,5.0,2.1418549872086783,1.867540064051164,1.0000001192092896,0.84375
3,1,2,0.661920645544402,0.5058368636600166,0.8060892219623655,0.36961089795440005,17.055479303626292,5.0,3.174279650852253,1.2601284196639866,0.9999999403953552,0.921875
3,1,3,0.6696526857953498,0.5141897075127657,0.8690408920694213,0.5563141949758217,7.97545360214045,5.0,3.0796388826375125,1.2988535839547064,1.0000001192092896,0.984375
3,1,4,0.6696526857953498,0.5072294193068108,0.8212364817961978,0.6143949350886615,6.276175842102165,5.0,2.9646731514264193,1.349221244869926,1.0,0.921875
3,1,5,0.6711622160481673,0.5290839263479326,0.8594119877215224,0.7446902850120485,3.4284013116113203,5.0,2.8309752067209386,1.4129406681145467,1.0,0.953125
3,1,6,0.6711622160481673,0.5300230465042555,0.7191260995189772,0.6983086597846595,4.320315035307945,5.0,2.649461837075186,1.509740560904138,1.0,0.8125
3,1,7,0.6711622160481673,0.5441344179805241,0.7858427088409439,0.4161101626066989,14.032097503592697,5.0,3.70613434598814,1.0792916895551743,1.0,0.9375
3,2,0,0.6780292982652144,0.48361240747528,1.0,0.7014386312698604,4.256414680064518,5.0,2.655891768185101,1.5060854692634533,1.0000001192092896,1.0
3,2,1,0.6780292982652144,0.5011140930135374,0.7581340679865652,0.7802553617821292,2.8163169262427976,5.0,2.078911054640962,1.9240842416371773,1.0,0.890625
3,2,2,0.6780292982652144,0.48945067926770236,0.9441027707934457,0.690438158590907,4.483556384555394,5.0,2.6896648025696557,1.4871741624378154,1.0,0.984375
3,2,3,0.7073693493381408,0.4948980525983745,0.7375026853928432,0.3333333333333333,20.0,5.0,3.264573095582814,1.2252750613586405,0.9999999403953552,0.90625
3,2,4,0.7073693493381408,0.4944673436570516,0.5620982245024132,0.5250222724802467,9.046811010053364,5.0,2.497334948875262,1.6017074528995408,1.0,0.765625
3,2,5,0.7073693493381408,0.5067163797418124,0.8945487247626508,0.5828659065011703,7.156604784157027,5.0,3.265836252103193,1.2248011508305128,1.0000001192092896,0.953125
