best_so_far,mean_R,method,round,seed
1.0,0.04381369637153594,price_rl,0,4
1.0,0.24531927643437942,price_rl,1,4
1.0,0.5864361383531922,price_rl,2,4
1.0,0.7984278390058533,price_rl,3,4
1.0,0.9213845844746342,price_rl,4,4
1.0,0.963959930403474,price_rl,5,4
1.0,0.9799685949830015,price_rl,6,4
1.0,0.9907003602236065,price_rl,7,4
1.0,0.9907257606765758,price_rl,8,4
1.0,1.0,price_rl,9,4
1.0,0.9909323501949965,price_rl,10,4
1.0,0.9896993112253013,price_rl,11,4
1.0,0.9961690976722,price_rl,12,4
1.0,0.9915713739742544,price_rl,13,4
1.0,0.9881593035915844,price_rl,14,4
1.0,1.0,price_rl,15,4
1.0,1.0,price_rl,16,4
1.0,1.0,price_rl,17,4
1.0,0.9971616593102729,price_rl,18,4
1.0,0.9950064969450557,price_rl,19,4
1.0,0.04381369637153594,price_rl_fixed,0,4
1.0,0.03286543756396823,price_rl_fixed,1,4
1.0,0.049382676921404016,price_rl_fixed,2,4
1.0,0.054678305698716685,price_rl_fixed,3,4
1.0,0.10754879366358033,price_rl_fixed,4,4
1.0,0.13054298245803167,price_rl_fixed,5,4
1.0,0.1517750086592225,price_rl_fixed,6,4
1.0,0.22894044356180815,price_rl_fixed,7,4
1.0,0.3256952899967937,price_rl_fixed,8,4
1.0,0.35119037570373196,price_rl_fixed,9,4
1.0,0.49314334368674834,price_rl_fixed,10,4
1.0,0.6513618012886261,price_rl_fixed,11,4
1.0,0.7393184003956199,price_rl_fixed,12,4
1.0,0.7723842783633448,price_rl_fixed,13,4
1.0,0.831506391716481,price_rl_fixed,14,4
1.0,0.8754822099587468,price_rl_fixed,15,4
1.0,0.8912292635791599,price_rl_fixed,16,4
1.0,0.8952470130851837,price_rl_fixed,17,4
1.0,0.9294370633113558,price_rl_fixed,18,4
1.0,0.9649529893266485,price_rl_fixed,19,4
1.0,0.030935364904238156,random,0,5
1.0,0.016860375710491496,random,1,5
1.0,0.04137550814260158,random,2,5
1.0,0.02203040393737656,random,3,5
1.0,0.04117325654724287,random,4,5
1.0,0.025195874554622705,random,5,5
1.0,0.02467590041353753,random,6,5
1.0,0.044645066421458,random,7,5
1.0,0.02051920108305338,random,8,5
1.0,0.021294198405314938,random,9,5
1.0,0.03255062322434956,random,10,5
