K,seed,round,best,rho,rho_star,L_hat,L_analytic,cos_T1
0,1,15,0.7992421816560615,0.4614401531236145,0.4678825439483982,22.745770832189372,40.0,0.9999999403953552
0,2,0,0.5752042272064957,1.0,0.767652898085732,6.053441665983764,40.0,0.9999998807907104
0,2,1,0.6798538210302423,0.7963220315457448,0.7985811913553669,5.044416543364397,40.0,1.000000238418579
0,2,2,0.7277902475296268,0.733405192204624,0.8176942067292117,4.459021276425914,40.0,0.9999999403953552
0,2,3,0.7594466011778142,0.6596544226913883,0.8592720582362956,3.2755153717567973,40.0,0.9999999403953552
0,2,4,0.7693417130477953,0.554189223503355,0.7869566999452545,5.414358885808231,40.0,0.9999999403953552
0,2,5,0.7779477530992336,0.6006034935228848,0.8239761981219231,4.272545791475175,40.0,1.0
0,2,6,0.7821003741542,0.6780515810694844,0.7977268206022371,5.071239280761765,40.0,1.0000001192092896
0,2,7,0.783865012660067,0.8384902901607262,0.8083994743686407,4.740243696496692,40.0,0.9999999403953552
0,2,8,0.7866995798788946,0.7074655978877181,0.7906209562423248,5.296572070460037,40.0,0.9999999403953552
0,2,9,0.7867618654300975,0.6128907938099832,0.5435012923867586,16.798440555993903,40.0,1.0000001192092896
0,2,10,0.7872208651788544,0.7221754042308111,0.6358945103352843,11.451757602773952,40.0,1.0
0,2,11,0.7933480329021945,0.6832622674495628,0.7363863599228518,7.159655703149251,40.0,1.0000001192092896
0,2,12,0.7933480329021945,0.514407363899015,0.5668914082066506,15.280125453426068,40.0,1.0000001192092896
0,2,13,0.793630852083423,0.5109665602749885,0.6340354641413296,11.543976845342362,40.0,1.0000001192092896
0,2,14,0.793630852083423,0.6005388017961695,0.5814938591010572,14.394172332135017,40.0,1.0
0,2,15,0.793630852083423,0.769838989584582,0.24907188423343674,60.29810374444139,40.0,0.9999999403953552
0,3,0,0.6149210689991166,1.0,0.7992353602977837,5.023917851367694,40.0,1.0000001192092896
0,3,1,0.6794311563530959,0.833997580953345,0.8129778715707405,4.600915596089158,40.0,1.0
0,3,2,0.7488691757569412,0.7071337292381223,0.745936308449425,6.811940608674649,40.0,1.0000001192092896
0,3,3,0.7851118377278664,0.6618307177594566,0.782617035435326,5.555283228501563,40.0,1.0
