task,base_lr,inner_steps,support_q,best_mean,best_std,cos_T1_min
NK_K10,2.0,16,0.2,0.6868819156526793,0.023696658276158772,0.9999998211860657
NK_K10,4.0,4,0.02,0.6946196381548554,0.015416219120947428,0.9999997019767761
NK_K10,4.0,4,0.05,0.6976803257477201,0.020830898794379892,0.9999998807907104
NK_K10,4.0,4,0.1,0.7159654428029645,0.014173309361200054,0.9999997615814209
NK_K10,4.0,4,0.2,0.7080815446442918,0.023736933398232983,0.9999998807907104
NK_K10,4.0,8,0.02,0.6841491484201937,0.025079358832682176,0.0
NK_K10,4.0,8,0.05,0.6883681663928408,0.02303082938207463,0.0
NK_K10,4.0,8,0.1,0.6850241092224261,0.028077516960063907,0.9999998211860657
NK_K10,4.0,8,0.2,0.6884136237444538,0.026561113324998213,0.9999998211860657
NK_K10,4.0,16,0.02,0.6793963615330043,0.027729664917794473,0.0
NK_K10,4.0,16,0.05,0.6841037881662888,0.024154732140537205,0.0
NK_K10,4.0,16,0.1,0.6722769991014561,0.022793301772409253,0.0
NK_K10,4.0,16,0.2,0.6897060160349293,0.031690581543131376,0.0
GB1,0.5,4,0.02,0.0058941728064300074,0.0022575083116346574,nan
GB1,0.5,4,0.05,0.005760214333556598,0.0022654433389534844,nan
GB1,0.5,4,0.1,0.005492297387809778,0.002590633570772099,nan
GB1,0.5,4,0.2,0.005358338914936369,0.0021180694307892695,nan
GB1,0.5,8,0.02,0.01768251841929002,0.005516747563824246,nan
GB1,0.5,8,0.05,0.017146684527796385,0.004690459852648787,nan
GB1,0.5,8,0.1,0.015137307434695246,0.003351639920481394,nan
GB1,0.5,8,0.2,0.013395847287340923,0.004041018922705521,nan
GB1,0.5,16,0.02,0.09015405224380442,0.021385579706365735,nan
GB1,0.5,16,0.05,0.0853315472203617,0.02127199811523559,nan
GB1,0.5,16,0.1,0.07957133288680508,0.018266552997771218,nan
GB1,0.5,16,0.2,0.06121902210314802,0.012797066305230266,nan
GB1,1.0,4,0.02,0.0174146014735432,0.005441418891249806,nan
GB1,1.0,4,0.05,0.016476892163429336,0.005368376399066009,nan
GB1,1.0,4,0.1,0.015271265907568655,0.003372988161289798,nan
GB1,1.0,4,0.2,0.013395847287340923,0.004041018922705521,nan
GB1,1.0,8,0.02,0.0910917615539183,0.022242754630950233,nan
GB1,1.0,8,0.05,0.08452779638312122,0.020593909672314465,nan
GB1,1.0,8,0.1,0.08024112525117214,0.01728739152846685,nan
GB1,1.0,8,0.2,0.06148693904889484,0.012476130156061672,nan
GB1,1.0,16,0.02,0.16463496316141996,0.03830931282110183,nan
GB1,1.0,16,0.05,0.16008037508372402,0.043060929747641655,nan
GB1,1.0,16,0.1,0.15619557937039516,0.040128109659425974,nan
GB1,1.0,16,0.2,0.14413931681178832,0.04228803991187471,nan
GB1,2.0,4,0.02,0.09122572002679169,0.021721935372351592,nan
GB1,2.0,4,0.05,0.08466175485599464,0.020011441069955862,nan
GB1,2.0,4,0.1,0.07849966510381781,0.016430540502571426,nan
GB1,2.0,4,0.2,0.06282652377762894,0.013729273114876312,nan
GB1,2.0,8,0.02,0.16450100468854656,0.04025580271070164,nan
GB1,2.0,8,0.05,0.16128600133958473,0.04162941402936408,nan
GB1,2.0,8,0.1,0.15887474882786337,0.03775015365674281,nan
