best_so_far,mean_R,method,round,seed
1.0,0.8330917451236769,price_rl_fixed,16,1
1.0,0.8524115295451913,price_rl_fixed,17,1
1.0,0.8852305497630277,price_rl_fixed,18,1
1.0,0.9401855159937977,price_rl_fixed,19,1
1.0,0.9095861050491785,price_rl_fixed,20,1
1.0,0.9393514477972249,price_rl_fixed,21,1
1.0,0.9577541235325288,price_rl_fixed,22,1
1.0,0.9739711312166266,price_rl_fixed,23,1
1.0,0.9844235852157365,price_rl_fixed,24,1
1.0,0.9408340466873125,price_rl_fixed,25,1
1.0,0.9780944258658306,price_rl_fixed,26,1
1.0,0.9668653622201555,price_rl_fixed,27,1
1.0,0.9798552557259348,price_rl_fixed,28,1
1.0,0.9765779549773325,price_rl_fixed,29,1
1.0,0.9686286115246651,price_rl_fixed,30,1
1.0,0.9782285041915759,price_rl_fixed,31,1
1.0,0.9925694065581867,price_rl_fixed,32,1
1.0,0.9912607293245272,price_rl_fixed,33,1
1.0,0.9895606805314275,price_rl_fixed,34,1
1.0,0.9829033387747205,price_rl_fixed,35,1
1.0,0.9982792540849821,price_rl_fixed,36,1
1.0,0.9903577328901517,price_rl_fixed,37,1
1.0,0.9939767166722597,price_rl_fixed,38,1
1.0,0.9924144232015467,price_rl_fixed,39,1
1.0,0.03711334988182879,random,0,2
1.0,0.03191818308269696,random,1,2
1.0,0.03549838404596058,random,2,2
1.0,0.0252310805836724,random,3,2
1.0,0.04481347546148989,random,4,2
1.0,0.03301815544025016,random,5,2
1.0,0.01809370933319043,random,6,2
1.0,0.026136817118092803,random,7,2
1.0,0.011342979660097764,random,8,2
1.0,0.045539027329264126,random,9,2
1.0,0.03124974703526318,random,10,2
1.0,0.036096792203964806,random,11,2
1.0,0.028759357331276315,random,12,2
1.0,0.028167909601708035,random,13,2
1.0,0.055532369124679216,random,14,2
1.0,0.033975110512868494,random,15,2
1.0,0.023691569656427422,random,16,2
1.0,0.01646543530295383,random,17,2
1.0,0.03130541897248484,random,18,2
1.0,0.01839956967396106,random,19,2
1.0,0.045472599627071404,random,20,2
1.0,0.029093637848681873,random,21,2
1.0,0.04250523044575097,random,22,2
1.0,0.04669737094067237,random,23,2
1.0,0.03449725334849287,random,24,2
1.0,0.026008703399791472,random,25,2
1.0,0.04548546894836922,random,26,2
1.0,0.04845409832512475,random,27,2
1.0,0.05617984414883804,random,28,2
1.0,0.020311919095018966,random,29,2
1.0,0.03805320483278247,random,30,2
1.0,0.05747343660127493,random,31,2
1.0,0.029394761690399358,random,32,2
1.0,0.04153753981184318,random,33,2
1.0,0.020904897682402845,random,34,2
1.0,0.03690650233998254,random,35,2
1.0,0.03198084101926441,random,36,2
1.0,0.034536241412706524,random,37,2
1.0,0.026902410799808124,random,38,2
1.0,0.015545846889931682,random,39,2
1.0,0.03711334988182879,pex,0,2
1.0,0.15991638449658166,pex,1,2
1.0,0.22625255889790616,pex,2,2
1.0,0.23270512669874244,pex,3,2
1.0,0.2543895211830496,pex,4,2
1.0,0.2506509405108117,pex,5,2
1.0,0.2332288094783764,pex,6,2
1.0,0.23500869280191877,pex,7,2
1.0,0.24397642827032162,pex,8,2
